,state,sat_participation_17,sat_participation_18,act_participation_17,act_participation_18,delta_sat,delta_act
0,Alabama,5.0,6.0,100.0,100.0,1.0,0.0
1,Alaska,38.0,43.0,65.0,33.0,5.0,-32.0
2,Arizona,30.0,29.0,62.0,66.0,-1.0,4.0
3,Arkansas,3.0,5.0,100.0,100.0,2.0,0.0
4,California,53.0,60.0,31.0,27.0,7.0,-4.0
5,Colorado,11.0,100.0,100.0,30.0,89.0,-70.0
6,Connecticut,100.0,100.0,31.0,26.0,0.0,-5.0
7,Delaware,100.0,100.0,18.0,17.0,0.0,-1.0
8,Florida,83.0,97.0,73.0,66.0,14.0,-7.0
9,Georgia,61.0,70.0,55.0,53.0,9.0,-2.0
10,Hawaii,55.0,56.0,90.0,89.0,1.0,-1.0
11,Idaho,93.0,100.0,38.0,36.0,7.0,-2.0
12,Illinois,9.0,99.0,93.0,43.0,90.0,-50.0
13,Indiana,63.0,67.0,35.0,32.0,4.0,-3.0
14,Iowa,2.0,3.0,67.0,68.0,1.0,1.0
15,Kansas,4.0,4.0,73.0,71.0,0.0,-2.0
16,Kentucky,4.0,4.0,100.0,100.0,0.0,0.0
17,Louisiana,4.0,4.0,100.0,100.0,0.0,0.0
18,Maine,95.0,99.0,8.0,7.0,4.0,-1.0
19,Maryland,69.0,76.0,28.0,31.0,7.0,3.0
20,Massachusetts,76.0,80.0,29.0,25.0,4.0,-4.0
21,Michigan,100.0,100.0,29.0,22.0,0.0,-7.0
22,Minnesota,3.0,4.0,100.0,99.0,1.0,-1.0
23,Mississippi,2.0,4.0,100.0,100.0,2.0,0.0
24,Missouri,3.0,4.0,100.0,100.0,1.0,0.0
25,Montana,10.0,10.0,100.0,100.0,0.0,0.0
26,Nebraska,3.0,3.0,84.0,100.0,0.0,16.0
27,Nevada,26.0,23.0,100.0,100.0,-3.0,0.0
28,New Hampshire,96.0,96.0,18.0,16.0,0.0,-2.0
29,New Jersey,70.0,82.0,34.0,31.0,12.0,-3.0
30,New Mexico,11.0,16.0,66.0,67.0,5.0,1.0
31,New York,67.0,79.0,31.0,27.0,12.0,-4.0
32,North Carolina,49.0,52.0,100.0,100.0,3.0,0.0
33,North Dakota,2.0,2.0,98.0,98.0,0.0,0.0
34,Ohio,12.0,18.0,75.0,100.0,6.0,25.0
35,Oklahoma,7.0,8.0,100.0,100.0,1.0,0.0
36,Oregon,43.0,48.0,40.0,42.0,5.0,2.0
37,Pennsylvania,65.0,70.0,23.0,20.0,5.0,-3.0
38,Rhode Island,71.0,97.0,21.0,15.0,26.0,-6.0
39,South Carolina,50.0,55.0,100.0,100.0,5.0,0.0
40,South Dakota,3.0,3.0,80.0,77.0,0.0,-3.0
41,Tennessee,5.0,6.0,100.0,100.0,1.0,0.0
42,Texas,62.0,66.0,45.0,45.0,4.0,0.0
43,Utah,3.0,4.0,100.0,100.0,1.0,0.0
44,Vermont,60.0,64.0,29.0,24.0,4.0,-5.0
45,Virginia,65.0,68.0,29.0,24.0,3.0,-5.0
46,Washington,64.0,69.0,29.0,24.0,5.0,-5.0
47,West Virginia,14.0,28.0,69.0,65.0,14.0,-4.0
48,Wisconsin,3.0,3.0,100.0,100.0,0.0,0.0
49,Wyoming,3.0,3.0,100.0,100.0,0.0,0.0
